CensusTract,CaliforniaCounty,ZIP,Longitude,Latitude,ApproxLocation,CES4.0Score,CES4.0Percentile,CES4.0PercRange,Ozone,OzonePctl,PM2.5,PM2.5.Pctl,DieselPM,DieselPMPctl,DrinkingWater,DrinkingWaterPctl,Lead,LeadPctl,Pesticides,PesticidesPctl,ToxRelease,ToxReleasePctl,Traffic,TrafficPctl,CleanupSites,CleanupSitesPctl,GroundwaterThreats,GroundwaterThreatsPctl,HazWaste,HazWastePctl,ImpWaterBodies,ImpWaterBodiesPctl,SolidWaste,SolidWastePctl,PollutionBurden,PollutionBurdenScore,PollutionBurdenPctl,Asthma,AsthmaPctl,LowBirthWeight,LowBirthWeightPctl,CardiovascularDisease,CardiovascularDiseasePctl,TotalPop,ChildrenPercLess10,PopPerc10to64,ElderlyMore64,HispanicPerc,WhitePerc,AfAmericanPerc,NativeAmericanPerc,AsianAmericanPerc,OtherMultiplePerc,PopChar,PopCharScore,PopCharPctl,Education,EducationPctl,LinguisticIsol,LinguisticIsolPctl,Poverty,PovertyPctl,Unemployment,UnemploymentPctl,HousingBurden,HousingBurdenPctl
6115040100,Yuba,95901,-121.5942461,39.1515257,Marysville,51.76,89.75,85-90%,0.046,46.99,9.199257479,40.61,0.298,76.17,500.42,60.62,77.36,86.88,366.17,83.93,1.699002233,5.48,1153.691399,66.58,13,71.63,18.35,65.68,0.645,76.44,8,72.15,9.55,89.87,63.99,7.81,95.1,64.09,73.33,4.69,43.55,20.18,87.94,4770,11.93,74.82,13.25,24.4,63.33,2.22,0.94,1.7,7.4,63.86,6.62,71.29,18.8,62.68,1.5,11.27,52,84.21,7.3,69.98,21.6,69.15
6115040200,Yuba,95901,-121.5739716,39.158116,Marysville,31.99,62.39,60-65%,0.046,46.99,9.012645719,37.64,0.117,42.5,341.4,34.93,64.45,72.12,1275.76,90.48,1.720830467,5.55,356.4443888,11.49,0,0,4.95,28.36,0.35,56.4,8,72.15,12.55,94.14,45.21,5.52,57.29,68.67,77.5,4.36,35.04,21.57,92.56,7981,15.55,73.71,10.74,32.64,61.85,1.88,0,1.34,2.29,55.86,5.79,59.29,14.7,54.62,1.8,14.28,33.6,59.52,6.6,63.42,12.3,24.94
6115040301,Yuba,95901,-121.5380858,39.1329043,Linda,33.31,64.56,60-65%,0.045,42.56,8.499630265,22.78,0.03,10.53,504.17,61,66.41,74.56,57.57,73.17,1.989992967,5.81,430.4960789,15.95,2,25.63,4.5,27.76,0.2,35.62,0,0,0,0,31.46,3.84,20.85,68.67,77.5,6.99,89.8,21.57,92.56,3306,18.69,71.2,10.1,24.65,37.81,2.81,0,23.35,11.37,83.58,8.67,95.65,22,68.25,NA,NA,55.9,88.09,14.5,96.33,21.7,69.46
6115040302,Yuba,95901,-121.5709108,39.1277084,Linda,39.38,73.9,70-75%,0.045,42.56,8.791003093,32.69,0.073,27.27,551.94,64.77,62.82,69.69,280.22,82.45,1.980154667,5.8,1563.638868,79.34,0.1,2.07,7.05,37.69,0.1,16.64,6,58.69,2.7,60.11,45.39,5.54,57.72,66.97,76.15,3.55,17.21,21.16,91.16,2396,23.62,70.62,5.76,45.74,41.82,2.92,0.88,7.3,1.34,68.5,7.11,78.09,32.6,83.14,8.1,53.86,77.5,99.1,12.7,93.71,16.7,47.62
6115040303,Yuba,95901,-121.5423602,39.1207198,Linda,22.95,44.36,40-45%,0.045,39.99,8.488922307,22.46,0.059,21.58,509.35,61.43,28.99,22.73,29.94,68.86,2.121330633,5.94,1388.500064,75.11,0.35,4.29,8.75,42.57,0.25,43.3,0,0,2,52.9,36.05,4.4,31.94,68.67,77.5,4.23,32,21.57,92.56,8940,19.77,71.97,8.27,31.86,40.78,8.94,0.86,11.63,5.93,50.28,5.22,50.74,14.1,53.4,0.7,3.74,22.5,39.62,6.4,61.53,8.3,7.69
6115040400,Yuba,95961,-121.5826165,39.0999148,Olivehurst,49.2,87.01,85-90%,0.045,42.56,8.589898763,25.5,0.084,31.15,536.01,63.63,70.26,79.48,748.55,87.59,17.12163323,10.77,933.9647182,54.03,1,17.08,20.25,68.59,0.21,37.68,6,58.69,2.5,59.18,48.97,5.98,67.69,41.9,44.6,7.01,90.02,22.75,94.63,5434,14.91,76.02,9.07,45.4,32.9,1.95,1.99,11.63,6.13,79.31,8.23,91.87,37.4,87.67,12.9,71.16,67.4,96.23,10.9,89.46,20.9,66.51
6115040500,Yuba,95961,-121.5535692,39.1003669,Olivehurst,37.86,71.86,70-75%,0.045,39.99,8.688572919,29.43,0.1,37.4,389.08,41.13,67.94,76.47,573.76,86.34,13.63673337,9.86,1141.752212,66.01,8.25,53.7,9,43.85,0.2,35.62,0,0,0.2,9.67,41.74,5.1,47.84,42.65,45.59,4.73,44.77,23.36,95.73,4052,17.6,73.99,8.42,43.26,43.81,0.25,1.51,7.97,3.21,71.62,7.43,82.32,32.6,83.14,NA,NA,50.9,82.94,13.8,95.5,20.1,63.26
6115040600,Yuba,95961,-121.5468773,39.0841363,Olivehurst,27.6,54.1,50-55%,0.045,39.99,8.498994848,22.7,0.206,63.12,296.32,23.23,52.03,54.38,466.1,85.31,22.23143323,12.09,698.9396755,36.01,1,17.08,8.5,42.07,0.11,19.25,0,0,0,0,33.3,4.07,24.97,44.37,48.12,4.78,46.29,24.72,97.57,5702,17.1,69.96,12.94,42.9,43.91,3.1,0.81,3.53,5.75,65.46,6.79,73.68,30.7,80.92,10.2,62.66,45.9,77.31,7.4,70.9,15.8,42.83
6115040700,Yuba,95961,-121.5531096,39.017754,Plumas Lake,22.13,42.41,40-45%,0.047,48.6,8.254624581,17.21,0.07,26.1,498.7,60.42,18.59,10.95,1495.71,91.45,25.7948666,12.98,295.2333078,8,7,50.32,17.5,64.22,0.6,74.73,6,58.69,1.1,36.47,41.94,5.12,48.36,43.07,46.2,3.27,12.38,23.71,96.41,13334,19.02,73.08,7.9,26.23,53.46,3.42,0.83,9.92,6.13,41.65,4.32,37.49,10.3,43.07,4.8,36.46,19.1,32.27,4.7,40.6,7.6,5.82
6115040800,Yuba,95692,-121.4340275,39.0409023,Unincorporated Yuba County area,21.59,41.28,40-45%,0.049,58.36,7.784847282,11.57,0.051,18.32,508.62,61.36,25.03,17.88,2169.9,93.38,13.68240007,9.9,280.6636553,7.31,0,0,16,61.55,2,92.52,4,43.78,7,83.28,41.92,5.12,48.26,35.41,34.26,4.82,47.4,15.27,68.2,4652,10,76.01,13.99,15.82,75.06,0.15,0.99,2.6,5.37,40.67,4.22,36.22,13.4,51.73,0,0,17,27.05,8.2,76.69,5.3,1.52
6115040901,Yuba,95901,-121.3582036,39.184664,Unincorporated Yuba County area,30.21,59.13,55-60%,0.05,62.55,7.609393412,10.33,0.025,8.72,850.83,96.4,46.03,45.87,825.3,88.1,2.1251014,5.95,289.1256206,7.73,8.45,53.96,11.25,50.14,0.525,70.93,4,43.78,8.2,86.87,47.52,5.8,63.63,50.32,56.99,2.87,7.78,16.27,72.67,2720,13.68,65.63,20.7,17.5,63.42,0.74,1.1,10.4,6.84,50.2,5.21,50.64,17.3,60.31,2.8,22.17,38.1,66.31,6.3,60.57,20.2,63.61
6115040902,Yuba,95901,-121.3922825,39.1253115,Unincorporated Yuba County area,18.67,34.43,30-35%,0.05,59.96,7.449359009,9.4,0.007,2.76,388.65,40.93,33.54,28.63,18.17,65.34,1.715959967,5.51,169.3399385,3.05,9,58.17,91.75,96.07,0.5,69.4,0,0,0,0,32.88,4.01,23.8,37.45,37.21,4.33,34.39,14.79,65.09,1653,14.46,85.54,0,19.78,56.38,8.59,0.18,8.47,6.59,44.83,4.65,42.42,2.1,6.52,NA,NA,28.3,51.09,3.4,22.57,35.2,96.2
6115041000,Yuba,95901,-121.4453728,39.2661888,Unincorporated Yuba County area,21.99,42.13,40-45%,0.051,64.87,7.613825952,10.35,0.025,8.67,852.33,96.43,25.2,18.05,1279.56,90.55,0.816589,4.06,205.7617342,4.25,11.2,63.94,12.75,53.4,0.11,19.25,10,82.97,19,98.05,45.94,5.61,59.35,40.86,42.86,4.85,48.27,13.83,59.31,7298,15.26,63.07,21.66,12.89,77.87,4.03,0.08,2.14,2.99,37.78,3.92,31.73,8.3,35.54,3.1,24.77,18.5,30.78,4.1,32.27,6.7,3.76
6115041100,Yuba,95925,-121.1797405,39.4524525,Unincorporated Yuba County area,11.69,17.01,15-20%,0.057,75.36,5.986023691,3.11,0,0.07,627.98,70.48,33.51,28.59,0.2,30.97,0.0066665,1,40.8829278,0.15,7.5,51.62,18,65.32,0.01,1.8,6,58.69,10.6,91.87,35.43,4.33,30.23,19.08,7.93,3.85,23.06,7.58,10.73,4122,7.76,61.79,30.45,9.49,79.14,3.01,0.97,0.41,6.99,26.05,2.7,14.73,13.9,52.87,1.8,14.28,35.5,62.47,3.4,22.57,15,38.78
